err_mag_from_ASAS,sigclipped_mag_bestap,time_BJDTDB
0.027,9.284,2452185.661374535
0.025,9.271,2452186.698584578
0.028,9.284,2452189.719144729
0.024,9.266,2452190.671754782
0.036,9.292,2452191.671254841
0.025,9.289,2452192.664934899
0.024,9.271,2452193.665924958
0.024,9.273,2452194.657145015
0.026,9.282,2452195.65921507
0.028,9.266,2452196.66053512
0.025,9.274,2452197.657915165
0.024,9.256,2452199.650725238
0.026,9.271,2452201.639505292
0.025,9.267,2452202.644805314
0.025,9.284,2452203.634325332
0.025,9.284,2452204.632225348
0.026,9.287,2452206.631095379
0.03,9.278,2452207.627665394
0.024,9.28,2452208.662675411
0.027,9.26,2452211.603795473
0.026,9.258,2452213.585455529
0.027,9.271,2452214.615665564
0.027,9.267,2452215.620155603
0.028,9.275,2452216.615755644
0.028,9.285,2452217.61767569
0.026,9.284,2452221.600805888
0.029,9.271,2452222.605545938
0.029,9.255,2452224.591556031
0.025,9.277,2452225.602726073
0.028,9.29,2452226.598956111
0.026,9.249,2452227.595066145
0.028,9.271,2452229.591866203
0.031,9.267,2452230.594196228
0.028,9.284,2452232.582296272
0.03,9.272,2452233.585146294
0.031,9.255,2452234.574636315
0.026,9.28,2452235.569756335
0.029,9.271,2452236.566166356
0.037,9.283,2452237.576066379
0.032,9.266,2452239.567316425
0.037,9.278,2452243.553426542
0.041,9.258,2452247.580006693
0.03,9.267,2452249.607446771
0.038,9.274,2452255.582096965
0.045,9.287,2452257.584907016
0.04,9.273,2452260.58862709
0.037,9.263,2453386.566679056
0.025,9.251,2453389.554939099
0.032,9.267,2453391.599169127
0.026,9.291,2453889.90981708
0.024,9.285,2453893.898027018
0.027,9.276,2454258.915449854
0.027,9.258,2454273.911709455
0.038,9.238,2454290.886139013
0.024,9.286,2454304.84433859
0.027,9.269,2454319.88895826
0.035,9.28,2454602.928221625
0.03,9.26,2454611.92284138
0.036,9.263,2454623.905401027
0.03,9.254,2454627.896900919
0.028,9.281,2454630.895510831
0.035,9.264,2454644.878960449
0.03,9.285,2454648.874680352
0.033,9.256,2454651.897820272
0.028,9.273,2454655.854940138
0.033,9.298,2454661.929009919
0.026,9.283,2454664.857839833
0.025,9.263,2454671.891889696
0.031,9.264,2454681.834239529
0.031,9.224,2454686.864669346
0.025,9.292,2454690.8256992
0.033,9.288,2454693.831589114
0.027,9.287,2454705.760529025
0.047,9.29,2454990.903714835
0.043,9.293,2454994.910734757
0.043,9.26,2455048.738003704
0.035,9.283,2455092.710283313
0.026,9.302,2452172.666304277
0.023,9.276,2451880.572924946
0.027,9.279,2451954.529927026
0.031,9.256,2452156.717373495
0.029,9.283999999999999,2452167.719564097
0.025,9.292,2452168.736684146
0.024,9.283,2452169.747544189
0.043,9.244,2452170.775374226
0.026,9.267,2452172.666304277
0.028,9.256,2452173.716024298
0.028,9.259,2452174.722724314
0.027,9.296,2452177.755094353
0.027,9.269,2452183.628694466
0.029,9.25,2452184.668434499
0.03,9.28,2452185.677174536
0.028,9.283,2452186.714194579
0.025,9.273,2452190.685274783
0.036,9.278,2452249.580906771
0.037,9.267,2452251.565436843
0.036,9.272,2452253.555196907
0.034,9.27,2452255.555546964
0.045,9.263,2452257.569657016
0.039,9.276,2452260.56172709
0.048,9.264999999999999,2452262.565237142
